_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO,SUBTIPO_ESTUPRO,TENTADO,ENVOLVE_VD,DESC_MEDIDA_PROTETIVA,ANO,MES
3571,3641/2018 - DEPAC-DDOS,"ROUBO QUALIFICADO, SE DA VIOLENCIA RESULTA MORTE, TRAFICO DE DROGAS, RELACIONADO A INDUZIR, INSTIGAR OU AUXILIAR ALGUEM AO USO INDEVIDO DE DROGA, ESTUPRO, FRAUDE PROCESSUAL, SE A INOVAÇAO SE DESTINA A PRODUZIR EFEITO EM PROCESSO PENAL, AINDA QUE NAO INICIADO, AS PENAS APLICAM-SE EM DOBRO","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, ROUBO, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, DROGAS, FATOS TIPICOS, ESTUPRO, FATOS TIPICOS",21/09/2018,22:00:00,MS,Dourados,5003702,PARQUE RESIDENCIAL PELICANO,ESTUPRO,False,False,False,2018,9
3721,3178/2018 - 1DEAM,"ESTUPRO, FEMINICIDIO - REVOGADO","FATOS TIPICOS, ESTUPRO, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",31/05/2018,14:30:00,MS,Campo Grande,5002704,JARDIM TIJUCA,ESTUPRO (LEGISLAÇÃO REVOGADA),False,False,False,2018,5
3945,1972/2017 - DP-MUNDO NOVO,"HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, ESTUPRO DE VULNERAVEL, QUANDO PRATICADO COM ALGUEM QUE, POR ENFERMIDADE OU DEFICIENCIA MENTAL, NAO TEM O NECESSARIO DISCERNIMENTO PARA A PRATICA DO ATO, OU QUE, POR QUALQUER OUTRA CAUSA, NAO PODE OFERECER RESISTENCIA","CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, ESTUPRO, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, PEDOFILIA",30/12/2017,07:40:00,MS,Japorã,5004809,ZONA RURAL,ESTUPRO,False,False,False,2017,12
4209,10282/2017 - DEPAC-CENTRO-CG,"RECEPTAÇAO, ASSOCIACAO CRIMINOSA, ROUBO QUALIFICADO, SE DA VIOLENCIA RESULTA MORTE, ESTUPRO, MORTE DECORRENTE DE INTERVENCAO LEGAL DE AGENTE DO ESTADO","RECEPTAÇAO, FATOS TIPICOS, FATOS TIPICOS, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, ROUBO, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, ESTUPRO, FATOS TIPICOS",18/07/2017,16:00:00,MS,Campo Grande,5002704,CONJUNTO JOSE ABRAO,ESTUPRO,False,False,False,2017,7
4248,926/2017 - DEPCA,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, ESTUPRO DE VULNERAVEL, SE DA CONDUTA RESULTA MORTE","FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, PEDOFILIA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, ESTUPRO",26/06/2017,01:00:00,MS,Campo Grande,5002704,COOPHAVILA II,ESTUPRO,False,False,False,2017,6
4307,1840/2017 - 1DP-PONTA PORÃ,"HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, ESTUPRO DE VULNERAVEL, QUANDO PRATICADO COM ALGUEM QUE, POR ENFERMIDADE OU DEFICIENCIA MENTAL, NAO TEM O NECESSARIO DISCERNIMENTO PARA A PRATICA DO ATO, OU QUE, POR QUALQUER OUTRA CAUSA, NAO PODE OFERECER RESISTENCIA","CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, ESTUPRO, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, PEDOFILIA",16/05/2017,10:00:00,MS,Ponta Porã,5006606,JARDIM MONTE ALTO,ESTUPRO,False,False,False,2017,5
4521,14/2017 - 1DP-JARDIM,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, ESTUPRO DE VULNERAVEL, HOMICIDIO DOLOSO MAJORADO, SE O CRIME É PRATICADO CONTRA PESSOA MENOR DE 14 (QUATORZE) OU MAIOR DE 60 (SESSENTA), HOMICIDIO DOLOSO, SE O CRIME É PRATICADO EM CONCURSO DE DUAS OU MAIS PESSOAS","FATOS TIPICOS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO",02/01/2017,08:00:00,MS,Jardim,5005004,CENTRO,ESTUPRO MAJORADO,False,False,False,2017,1
4525,14/2016 - 1DP-JARDIM,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, ESTUPRO DE VULNERAVEL, HOMICIDIO DOLOSO MAJORADO, SE O CRIME É PRATICADO CONTRA PESSOA MENOR DE 14 (QUATORZE) OU MAIOR DE 60 (SESSENTA), HOMICIDIO DOLOSO, SE O CRIME É PRATICADO EM CONCURSO DE DUAS OU MAIS PESSOAS","FATOS TIPICOS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO",31/12/2016,19:00:00,MS,Jardim,5005004,CENTRO,ESTUPRO MAJORADO,False,False,False,2016,12
4598,989/2016 - DP-TERENOS,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME, ESTUPRO","FATOS TIPICOS, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, ESTUPRO",22/11/2016,08:00:00,MS,Terenos,5008008,,ESTUPRO,False,False,False,2016,11
4929,850/2016 - DP-IVINHEMA,"HOMICIDIO SIMPLES, ESTUPRO DE VULNERAVEL","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO",29/04/2016,23:00:00,MS,Ivinhema,5004700,CENTRO,ESTUPRO,False,False,False,2016,4
5081,1608/2016 - DEPAC-PIRATININGA-CG,"ROUBO QUALIFICADO, SE DA VIOLENCIA RESULTA MORTE, ESTUPRO DE VULNERAVEL, QUANDO PRATICADO COM ALGUEM QUE, POR ENFERMIDADE OU DEFICIENCIA MENTAL, NAO TEM O NECESSARIO DISCERNIMENTO PARA A PRATICA DO ATO, OU QUE, POR QUALQUER OUTRA CAUSA, NAO PODE OFERECER RESISTENCIA, CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 (DEZOITO) ANOS, COM ELE PRATICANDO INFRACAO PENAL OU INDUZINDO-O A PRATICA-LA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, ROUBO, FATOS TIPICOS QUE RESULTAM EM MORTE, ESTUPRO, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, PEDOFILIA, CORRUPCAO DE MENOR, FATOS TIPICOS",06/02/2016,08:40:00,MS,Campo Grande,5002704,CONJUNTO AERO RANCHO,ESTUPRO,False,False,False,2016,2
