_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO,SUBTIPO_ESTUPRO,TENTADO,ENVOLVE_VD,DESC_MEDIDA_PROTETIVA,ANO,MES
1812,742/2022 - 4DP-CG,"ESTUPRO, SE DA CONDUTA RESULTA LESAO CORPORAL DE NATUREZA GRAVE OU SE A VITIMA É MENOR DE 18 (DEZOITO) OU MAIOR DE 14 (CATORZE) ANOS, FEMINICIDIO - REVOGADO","PEDOFILIA, FATOS TIPICOS, ESTUPRO, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",06/06/2022,14:00:00,MS,Campo Grande,5002704,TIRADENTES,ESTUPRO (LEGISLAÇÃO REVOGADA),False,False,False,2022,6
1848,594/2022 - DP-COSTA RICA,"HOMICIDIO SIMPLES NA FORMA TENTADA, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, ESTUPRO DE VULNERAVEL, CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 (DEZOITO) ANOS, COM ELE PRATICANDO INFRACAO PENAL OU INDUZINDO-O A PRATICA-LA","HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO, CORRUPCAO DE MENOR, FATOS TIPICOS",09/05/2022,03:00:00,MS,Costa Rica,5003256,CENTRO,ESTUPRO TENTADO,True,False,False,2022,5
1892,214/2022 - DAM-TRÊS LAGOAS,"FURTO, ESTUPRO, FEMINICIDIO, MENOSPREZO OU DISCRIMINAÇAO DE MULHER - REVOGADO","FURTO, FATOS TIPICOS, FURTO (SEM ART. 155, § 3° DO CP), FATOS TIPICOS, ESTUPRO, FATOS TIPICOS, PROJETO ACOLHIDA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS",07/04/2022,08:00:00,MS,Três Lagoas,5008305,,ESTUPRO (LEGISLAÇÃO REVOGADA),False,False,False,2022,4
1906,179/2022 - DP-SONORA,"HOMICIDIO SIMPLES, ESTUPRO","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, ESTUPRO",24/03/2022,00:00:00,MS,Sonora,5007935,,ESTUPRO,False,False,False,2022,3
1910,218/2022 - DP-AGUA CLARA,"LESAO CORPORAL DOLOSA, HOMICIDIO SIMPLES NA FORMA TENTADA, HOMICIDIO QUALIFICADO MEDIANTE PAGA OU PROMESSA DE RECOMPENSA, OU POR OUTRO MOTIVO TORPE, HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME, ESTUPRO DE VULNERAVEL","LESAO CORPORAL DOLOSA, FATOS TIPICOS, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO",20/03/2022,22:00:00,MS,Água Clara,5000203,JARDIM DAS PALMEIRAS,ESTUPRO TENTADO,True,False,False,2022,3
1993,25/2022 - DP-BANDEIRANTES,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, ESTUPRO, FEMINICIDIO - REVOGADO","FATOS TIPICOS, FATOS TIPICOS, ESTUPRO, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",22/01/2022,18:00:00,MS,Bandeirantes,5001508,JARDIM SANTA MADALENA,ESTUPRO (LEGISLAÇÃO REVOGADA),False,False,False,2022,1
2033,357/2021 - DP-SETE QUEDAS,"LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA), ESTUPRO (VIOLENCIA DOMESTICA), LESAO CORPORAL SEGUIDA DE MORTE (VIOLENCIA DOMESTICA)","DOS CRIMES CONTRA A PESSOA, LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, ESTUPRO, FATOS TIPICOS, VIOLENCIA DOMESTICA, LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS",25/12/2021,22:00:00,MS,Sete Quedas,5007703,,ESTUPRO,False,True,False,2021,12
2222,3506/2021 - DEPAC-DDOS,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, ESTUPRO DE VULNERAVEL","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO",18/08/2021,18:30:00,MS,Dourados,5003702,,ESTUPRO,False,False,False,2021,8
2235,3297/2021 - DEPAC-DDOS,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME, ESTUPRO DE VULNERAVEL, FEMINICIDIO - REVOGADO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",09/08/2021,08:40:00,MS,Dourados,5003702,,ESTUPRO (LEGISLAÇÃO REVOGADA),False,False,False,2021,8
2297,3530/2021 - 1DEAM,"HOMICIDIO SIMPLES, ESTUPRO DE VULNERAVEL","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO",22/06/2021,16:30:00,MS,Campo Grande,5002704,VILA BANDEIRANTE,ESTUPRO,False,False,False,2021,6
