_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO
1,147/2026 - DP-PEDRO GOMES,"HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME, PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZACAO CRIMINOSA, A PENA É AGRAVADA PARA QUEM EXERCE O COMANDO, INDIVIDUAL OU COLETIVO, DA ORGANIZAÇAO CRIMINOSA, AINDA QUE NAO PRATIQUE PESSOALMENTE ATOS DE EXECUÇAO, SE O HOMICIDIO DOLOSO É COMETIDO POR INTEGRANTE DE ORGANIZAÇAO CRIMINOSA ULTRAVIOLENTA, GRUPO PARAMILITAR OU MILICIA PRIVADA, NO CONTEXTO DA ATUAÇAO OU PARA A CONSECUÇAO DAS CONDUTAS PREVISTAS NO ART. 2º DA LEI QUE INSTITUI O MARCO LEGAL DO COMBATE AO CRIME ORGANIZADO NO BRASIL","FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, FATOS TIPICOS",28/04/2026,12:40:00,MS,PEDRO GOMES,5006408,""
2,835/2026 - 1DP-NOVA ANDRADINA,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",26/04/2026,13:30:00,MS,NOVA ANDRADINA,5006200,RESIDENCIAL JARDIM IMPERIAL
3,248/2026 - DP-IGUATEMI,"HOMICIDIO SIMPLES, HOMICIDIO SIMPLES NA FORMA TENTADA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",25/04/2026,23:45:00,MS,IGUATEMI,5004304,VILA OPERARIA
4,702/2026 - DP-COSTA RICA,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",25/04/2026,21:09:00,MS,COSTA RICA,5003256,""
5,1034/2026 - 1DP-NAVIRAÍ,"CONSTRANGIMENTO ILEGAL, SEQUESTRO E CARCERE PRIVADO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","FATOS TIPICOS, FATOS TIPICOS, SEQUESTRO E CARCERE PRIVADO, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",25/04/2026,02:45:00,MS,NAVIRAI,5005707,CENTRO SETOR 1
6,3848/2026 - DEPAC-CEPOL-CG,"FAVORECIMENTO PESSOAL, HOMICIDIO SIMPLES NA FORMA TENTADA, HOMICIDIO QUALIFICADO MEDIANTE PAGA OU PROMESSA DE RECOMPENSA, OU POR OUTRO MOTIVO TORPE","FATOS TIPICOS, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO",21/04/2026,20:26:00,MS,CAMPO GRANDE,5002704,JARDIM NOROESTE
7,3845/2026 - DEPAC-CEPOL-CG,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, NA FORMA TENTADA","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",21/04/2026,14:55:00,MS,CAMPO GRANDE,5002704,JARDIM MONUMENTO
8,967/2026 - 1DP-PONTA PORÃ,INFANTICIDIO,"FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS",21/04/2026,04:47:00,MS,PONTA PORÃ,5006606,""
9,394/2026 - DP-APARECIDA,"HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, HOMICIDIO DOLOSO, SE O CRIME É PRATICADO EM CONCURSO DE DUAS OU MAIS PESSOAS, HOMICIDIO QUALIFICADO COM EMPREGO DE ARMA DE FOGO DE USO RESTRITO OU PROIBIDO","HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",20/04/2026,21:07:00,MS,APARECIDA DO TABOADO,5001003,JARDIM REDENTORA
10,237/2026 - DP-ITAQUIRAI,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",20/04/2026,19:00:00,MS,ITAQUIRAÍ,5004601,""
11,296/2026 - DP-RIO VERDE,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",20/04/2026,00:45:00,MS,RIO VERDE DE MATO GROSSO,5007406,SANTA TEREZINHA
12,75/2026 - DP-ARAL MOREIRA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",19/04/2026,13:25:00,MS,ARAL MOREIRA,5001243,ZONA RURAL
13,3686/2026 - DEPAC-CEPOL-CG,"HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",17/04/2026,20:47:00,MS,CAMPO GRANDE,5002704,VILA MANOEL SECCO THOME
14,3659/2026 - DEPAC-CEPOL-CG,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, HOMICIDIO DOLOSO, SE O CRIME É PRATICADO EM CONCURSO DE DUAS OU MAIS PESSOAS","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO",17/04/2026,09:41:00,MS,CAMPO GRANDE,5002704,CENTRO OESTE
15,845/2026 - 3DP-CG,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",15/04/2026,12:02:00,MS,CAMPO GRANDE,5002704,CONJUNTO RESIDENCIAL MATA DO JACINTO
16,3565/2026 - DEPAC-CEPOL-CG,"HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",14/04/2026,15:35:00,MS,CAMPO GRANDE,5002704,VILA BORDON
17,907/2026 - 1DP-PONTA PORÃ,"HOMICIDIO SIMPLES, HOMICIDIO SIMPLES NA FORMA TENTADA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",14/04/2026,06:00:00,MS,PONTA PORÃ,5006606,CENTRO
18,996/2026 - 1DP-PARANAIBA,HOMICIDIO QUALIFICADO COM EMPREGO DE ARMA DE FOGO DE USO RESTRITO OU PROIBIDO,"HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",13/04/2026,19:00:00,MS,PARANAÍBA,5006309,SANTA RITA DE CASSIA
19,2765/2026 - 1DEAM,FEMINICIDIO,"CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",13/04/2026,08:35:00,MS,CAMPO GRANDE,5002704,JARDIM NOROESTE
20,212/2026 - DP-ELDORADO,"SUICIDIO, FEMINICIDIO","MORTE DECORRENTE DE FATO ATIPICO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",12/04/2026,23:50:00,MS,ELDORADO,5003751,JARDIM NOVO ELDORADO
21,3481/2026 - DEPAC-CEPOL-CG,"HOMICIDIO SIMPLES, LESAO CORPORAL DOLOSA, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, NA FORMA TENTADA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, LESAO CORPORAL DOLOSA, FATOS TIPICOS, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",12/04/2026,06:27:00,MS,CAMPO GRANDE,5002704,CENTRO
22,939/2026 - 1DP-NAVIRAÍ,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",12/04/2026,01:20:00,MS,NAVIRAI,5005707,JARDIM PARAISO IV
23,3661/2026 - DEPAC-CEPOL-CG,LESAO CORPORAL SEGUIDA DE MORTE,"FATOS TIPICOS QUE RESULTAM EM MORTE, LESAO CORPORAL DOLOSA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS",12/04/2026,00:00:00,MS,CAMPO GRANDE,5002704,PORTAL CAIOBA
24,136/2026 - DP-CORONEL SAPUCAIA,"HOMICIDIO SIMPLES, HOMICIDIO SIMPLES NA FORMA TENTADA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",11/04/2026,06:00:00,MS,CORONEL SAPUCAIA,5003157,VILA NOVA
25,208/2026 - DP-DEODÁPOLIS,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",11/04/2026,00:58:00,MS,DEODÁPOLIS,5003454,ZONA RURAL
26,405/2026 - 1DP-JARDIM,"HOMICIDIO SIMPLES, PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, PORTE E POSSE DE ARMA DE FOGO",10/04/2026,20:00:00,MS,JARDIM,5005004,VILA ANGELICA  DOIS
27,126/2026 - DP-PARANHOS,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",08/04/2026,17:50:00,MS,PARANHOS,5006358,""
28,604/2026 - DP-SIDROLANDIA,"HOMICIDIO SIMPLES, HOMICIDIO SIMPLES NA FORMA TENTADA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",06/04/2026,18:00:00,MS,SIDROLÂNDIA,5007901,""
29,2561/2026 - 1DEAM,"PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO, ADQUIRIR, POSSUIR OU ARMAZENAR, POR QUALQUER MEIO, FOTOGRAFIA, VIDEO OU OUTRA FORMA DE REGISTRO QUE CONTENHA CENA DE SEXO EXPLICITO OU PORNOGRAFICA ENVOLVENDO CRIANCA OU ADOLESCENTE, FEMINICIDIO","FATOS TIPICOS, PORTE E POSSE DE ARMA DE FOGO, FATOS TIPICOS, PEDOFILIA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",06/04/2026,11:35:00,MS,CAMPO GRANDE,5002704,CONJUNTO HABITACIONAL ESTRELA D ALVA I
30,3347/2026 - DEPAC-CEPOL-CG,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",05/04/2026,00:00:00,MS,CAMPO GRANDE,5002704,""
31,3253/2026 - DEPAC-CEPOL-CG,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",04/04/2026,22:39:00,MS,CAMPO GRANDE,5002704,VILA CARVALHO
32,560/2026 - DP-COSTA RICA,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, NA FORMA TENTADA","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",04/04/2026,04:02:00,MS,COSTA RICA,5003256,""
33,441/2026 - 1DP-BATAGUASSU,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",03/04/2026,20:00:00,MS,BATAGUASSU,5001904,JARDIM CAMPO GRANDE
34,580/2026 - DP-SIDROLANDIA,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",03/04/2026,16:30:00,MS,SIDROLÂNDIA,5007901,ZONA RURAL
35,298/2026 - DP-CAARAPO,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",29/03/2026,05:00:00,MS,CAARAPÓ,5002407,""
36,2577/2026 - DEPAC-DDOS,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",29/03/2026,02:31:00,MS,DOURADOS,5003702,JARDIM MARCIA
37,350/2026 - DP-ANASTACIO,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",28/03/2026,19:07:00,MS,ANASTÁCIO,5000708,VILA JUI
38,2540/2026 - DEPAC-DDOS,"HOMICIDIO SIMPLES, LESAO CORPORAL DOLOSA, HOMICIDIO SIMPLES NA FORMA TENTADA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, LESAO CORPORAL DOLOSA, FATOS TIPICOS, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",27/03/2026,22:22:00,MS,DOURADOS,5003702,ZONA RURAL
39,343/2026 - DP-ANASTACIO,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",27/03/2026,21:45:00,MS,ANASTÁCIO,5000708,""
40,236/2026 - DP-BELA VISTA,"HOMICIDIO SIMPLES, LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA)","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, DOS CRIMES CONTRA A PESSOA, LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS",26/03/2026,23:00:00,MS,BELA VISTA,5002100,""
41,2890/2026 - DEPAC-CEPOL-CG,"PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","FATOS TIPICOS, PORTE E POSSE DE ARMA DE FOGO, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",24/03/2026,12:30:00,MS,CAMPO GRANDE,5002704,JARDIM DOS ESTADOS
42,94/2026 - DP-DOIS IRMAOS,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",24/03/2026,10:30:00,MS,DOIS IRMÃOS DO BURITI,5003488,""
43,2215/2026 - 1DEAM,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",24/03/2026,05:34:00,MS,CAMPO GRANDE,5002704,""
44,110/2026 - DP-SELVÍRIA,FEMINICIDIO,"CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS",23/03/2026,08:35:00,MS,SELVÍRIA,5007802,CENTRO
45,109/2026 - DP-CORONEL SAPUCAIA,"HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO","CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS",23/03/2026,06:00:00,MS,CORONEL SAPUCAIA,5003157,ZONA RURAL
46,526/2026 - 1DP-COXIM,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",22/03/2026,20:00:00,MS,COXIM,5003306,SENHOR DIVINO
47,377/2026 - DP-RIO BRILHANTE,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",22/03/2026,17:25:00,MS,RIO BRILHANTE,5007208,""
48,2823/2026 - DEPAC-CEPOL-CG,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",22/03/2026,08:00:00,MS,CAMPO GRANDE,5002704,NOVA LIMA
49,315/2026 - DP-CASSILÂNDIA,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",21/03/2026,21:06:00,MS,CASSILÂNDIA,5002902,CENTRO
50,2363/2026 - DEPAC-DDOS,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",21/03/2026,18:59:00,MS,DOURADOS,5003702,""
51,2795/2026 - DEPAC-CEPOL-CG,"CONSTRUIR, REFORMAR, AMPLIAR, INSTALAR OU FAZER FUNCIONAR, EM QUALQUER PARTE DO TERRITORIO NACIONAL, ESTABELECIMENTOS, OBRAS OU SERVICOS POTENCIALMENTE POLUIDORES, SEM LICENCA OU AUTORIZACAO DOS ORGAOS AMBIENTAIS COMPETENTES, OU CONTRARIANDO AS NORMA, LESAO CORPORAL SEGUIDA DE MORTE, LESAO CORPORAL DE NATUREZA GRAVE SE RESULTA INCAPACIDADE PARA AS OCUPACOES HABITUAIS POR MAIS DE 30 DIAS,, CAUSAR POLUICAO DE QUALQUER NATUREZA EM NIVEIS TAIS QUE RESULTEM OU POSSAM RESULTAR EM DANOS A SAUDE HUMANA, OU QUE PROVOQUEM A MORTALIDADE DE ANIMAIS OU A DESTRUICAO SIGNIFICATIVA DA FLORA, INCENDIO CULPOSO","FATOS TIPICOS, CRIMES AMBIENTAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, LESAO CORPORAL DOLOSA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, LESAO CORPORAL GRAVE, FATOS TIPICOS, LESAO CORPORAL DOLOSA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, INCENDIO, FATOS TIPICOS",21/03/2026,11:09:00,MS,CAMPO GRANDE,5002704,ZONA RURAL AREA 2 - RU DO SEGREDO
52,202/2026 - DP-RIO VERDE,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",21/03/2026,10:00:00,MS,RIO VERDE DE MATO GROSSO,5007406,""
53,586/2026 - 1DP-AQUIDAUANA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",21/03/2026,03:45:00,MS,AQUIDAUANA,5001102,SANTA TEREZINHA
