_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO
1258,324/2023 - DP-ANTONIO JOÃO,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",30/07/2023,22:30:00,MS,ANTÔNIO JOÃO,5000906,CENTRO
1259,1665/2023 - 1DP-PONTA PORÃ,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",30/07/2023,20:45:00,MS,PONTA PORÃ,5006606,VILA BOA VISTA
1260,4840/2023 - DEPAC-DDOS,"LESAO CORPORAL DOLOSA, AMEACA, HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO, DESCUMPRIR DECISAO JUDICIAL QUE DEFERE MEDIDAS PROTETIVAS DE URGENCIA PREVISTAS NESTA LEI","LESAO CORPORAL DOLOSA, FATOS TIPICOS, AMEAÇA, FATOS TIPICOS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS",30/07/2023,00:28:00,MS,DOURADOS,5003702,RESIDENCIAL ESPLANADA
1261,984/2023 - DP-IVINHEMA,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",29/07/2023,21:34:00,MS,IVINHEMA,5004700,PIRAVEVE
1262,4874/2023 - DEPAC-DDOS,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",29/07/2023,21:00:00,MS,DOURADOS,5003702,""
1263,36969/2023 - DEVIR,"HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO","CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS",29/07/2023,19:00:00,MS,DOURADOS,5003702,JARDIM UNIVERSITARIO
1264,5021/2023 - DEPAC-CEPOL-CG,"HOMICIDIO DOLOSO, SE O CRIME É PRATICADO EM CONCURSO DE DUAS OU MAIS PESSOAS","FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO",29/07/2023,00:01:00,MS,CAMPO GRANDE,5002704,MORADA VERDE
1265,1530/2023 - 1DP-PARANAIBA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",28/07/2023,22:30:00,MS,PARANAÍBA,5006309,CENTRO
1266,756/2023 - DP-ANASTACIO,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",28/07/2023,08:00:00,MS,ANASTÁCIO,5000708,CENTRO
1267,500/2023 - DP-BELA VISTA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",27/07/2023,23:42:00,MS,BELA VISTA,5002100,ANTONIO JOAO
