_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO,SUBTIPO_FEMINICIDIO,TENTADO,ENVOLVE_VD,DESC_MEDIDA_PROTETIVA,ANO,MES
3269,225/2019 - 2DP-CG,"INCENDIO CULPOSO, HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, NA FORMA TENTADA, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR, NA FORMA TENTADA REVOGADO","INCENDIO, FATOS TIPICOS, FATOS TIPICOS, HOMICIDIO DOLOSO NA FORMA TENTADA, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, VIOLENCIA DOMESTICA, FATOS TIPICOS, FEMINICIDIO NA FORMA TENTADA",21/05/2019,13:36:00,MS,Campo Grande,5002704,VILA MARLI,FEMINICÍDIO TENTADO,True,True,False,2019,5
3280,2801/2019 - 1DEAM,"SUICIDIO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","MORTE DECORRENTE DE FATO ATIPICO, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",11/05/2019,02:35:00,MS,Campo Grande,5002704,VILA CARVALHO,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,True,False,2019,5
3285,59/2019 - DAM-JARDIM,"SUICIDIO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","MORTE DECORRENTE DE FATO ATIPICO, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",08/05/2019,14:02:00,MS,Jardim,5005004,VILA ANGELICA,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,True,False,2019,5
3304,2319/2019 - 1DEAM,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",19/04/2019,14:00:00,MS,Campo Grande,5002704,VILA PALMIRA,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,True,False,2019,4
3325,66/2019 - DAM-NAVIRAÍ,"POSSE OU PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FATOS TIPICOS, PORTE E POSSE DE ARMA DE FOGO, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",03/04/2019,07:25:00,MS,Navirai,5005707,RESIDENCIAL IPE,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,True,False,2019,4
3328,697/2019 - DP-SIDROLANDIA,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, FEMINICIDIO - REVOGADO","FATOS TIPICOS, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",01/04/2019,11:20:00,MS,Sidrolândia,5007901,CENTRO,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,False,False,2019,4
3329,529/2019 - DP-CHAPADÃO,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",31/03/2019,17:30:00,MS,Chapadão Do Sul,5002951,ESPLANADA II,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,True,False,2019,3
3330,259/2019 - DP-TERENOS,"HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, FEMINICIDIO - REVOGADO","HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",31/03/2019,00:30:00,MS,Terenos,5008008,,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,False,False,2019,3
3345,449/2019 - DP-COSTA RICA,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",17/03/2019,00:20:00,MS,Costa Rica,5003256,CENTRO,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,True,False,2019,3
3353,54/2019 - DP-ALCINOPOLIS,FEMINICIDIO - REVOGADO,"FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",11/03/2019,08:01:00,MS,Alcinópolis,5000252,COHABS,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,False,False,2019,3
3355,276/2019 - DP-CAARAPO,FEMINICIDIO - REVOGADO,"FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",10/03/2019,19:15:00,MS,Caarapó,5002407,CENTRO,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,False,False,2019,3
